filename,path,true_label,predicted_label,confidence,explanation,ocr_text,raw_response,correct
8.png,/content/raw/untoxic/8.png,нетоксичный,неттоксичный,средняя,"Этот мем - это обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто демонстрирует симпатичного кота, лежащего на диване, и содержит текст, который может быть интерпретирован как пожелание ""с днем русской лени"".",0 gнём русской леюи,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем - это обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто демонстрирует симпатичного кота, лежащего на диване, и содержит текст, который может быть интерпретирован как пожелание ""с днем русской лени"".",False
16.png,/content/raw/untoxic/16.png,нетоксичный,нетоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто представляет ситуацию, которая может вызвать смех или удивление.","Гарри Поттер, ты не можешь вернуться ФПИНП Ho почему? Потому что все занятия будут проходить онлайн:","КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто представляет ситуацию, которая может вызвать смех или удивление.",True
2.png,/content/raw/untoxic/2.png,нетоксичный,нетоксичный,средняя,"Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии или насилия. Он использует шутки и иронию, а не прямые оскорбления или дискриминацию.",дело рук зумеров Il 12 10 ииу 2 [ 3 8 4 5,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии или насилия. Он использует шутки и иронию, а не прямые оскорбления или дискриминацию.",True
10.png,/content/raw/untoxic/10.png,нетоксичный,неттоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он содержит шутки и иронию, а также черный юмор без конкретных жертв.","Москва, Внимание! Аптеки скрыли средство, усиливающее зрение в 50 Им оказался обычный: 22 часа назад бинокль раз!","КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он содержит шутки и иронию, а также черный юмор без конкретных жертв.",False
31.png,/content/raw/untoxic/31.png,нетоксичный,нетоксичный,средняя,"Этот мем - это обычный интернет-юмор, который использует шутки и иронию для создания смеха. Он не содержит прямых оскорблений, призывов к насилию или дискриминации, и не содержит ненависти по национальности, полу, религии или явлению. Он также не содержит черного юмора без конкретных жертв.",не 'ругайте ленивых мы ничего не сделали,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем - это обычный интернет-юмор, который использует шутки и иронию для создания смеха. Он не содержит прямых оскорблений, призывов к насилию или дискриминации, и не содержит ненависти по национальности, полу, религии или явлению. Он также не содержит черного юмора без конкретных жертв.",True
28.png,/content/raw/untoxic/28.png,нетоксичный,нетоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто комедийный сарказм, который может быть признан нетоксичным.",лекарство от головной боли: [ [ 17.17 7.9K,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто комедийный сарказм, который может быть признан нетоксичным.",True
17.png,/content/raw/untoxic/17.png,нетоксичный,нетоксичный,средняя,"Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто показывает птицу, сидящую на чашке с кофе, и комментирует это как ""ваш миндальный раф на птичьем молоке ещё не готов"".",Ваш миндальный раф на птичьем молоке ещё не готов,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он просто показывает птицу, сидящую на чашке с кофе, и комментирует это как ""ваш миндальный раф на птичьем молоке ещё не готов"".",True
21.png,/content/raw/untoxic/21.png,нетоксичный,токсичный,высокая,"Мем содержит реальную агрессию, призыв к насилию и дискриминации. Он несет в себе элементы ненависти и унижения по национальности, полу и религии.","""Посмотреть позже"" СИНДРОМ ОТЛОЖЕННОЙ sx ЖИЗНИ 17.33","КЛАССИФИКАЦИЯ: Токсичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Мем содержит реальную агрессию, призыв к насилию и дискриминации. Он несет в себе элементы ненависти и унижения по национальности, полу и религии.",False
nt13.png,/content/raw/untoxic/nt13.png,нетоксичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",Похвалили на работе NATIONAL GEOGRAPHIC РОССИЯ 9 @ % 5) НАУКА Безмозглая слизистая плесень умеет справляться co сложными задачами,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",True
26.png,/content/raw/untoxic/26.png,нетоксичный,нетоксичный,средняя,"Этот мем представляет собой обычный интернет-юмор, который использует абстрактный юмор и черный юмор без конкретных жертв. Он не содержит прямых оскорблений, призывов к насилию или дискриминации, и не содержит унижения по национальности, полу, религии или языку.",Problem: Stuck in mud can | proceed: Obvious Solution Corporate Solution,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который использует абстрактный юмор и черный юмор без конкретных жертв. Он не содержит прямых оскорблений, призывов к насилию или дискриминации, и не содержит унижения по национальности, полу, религии или языку.",True
20.png,/content/raw/untoxic/20.png,нетоксичный,нетоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",ЗаПейнасКИЯпком ЛОКаМЫСПИМПООШУ,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",True
18.png,/content/raw/untoxic/18.png,нетоксичный,нетоксичный,высокая,"Этот мем не содержит реальной агрессии, оскорбления или дискриминации. Он просто представляет собой обычный интернет-юмор, который может вызвать смех и удивление.",Какой русский не любит быстрой ходьбы? Восточный вокзал Vostochniy Raillway Terminal Мин 2 min он',"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем не содержит реальной агрессии, оскорбления или дискриминации. Он просто представляет собой обычный интернет-юмор, который может вызвать смех и удивление.",True
7.png,/content/raw/untoxic/7.png,нетоксичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",Избранное 00 печатает,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",True
nt3.png,/content/raw/untoxic/nt3.png,нетоксичный,нетоксичный,высокая,"Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или иным личным характеристикам. Он представляет собой обычный интернет-юмор, который может быть принято и любимым многими пользователями.",звони в любое время буду рад увидеть твой пропущенный,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или иным личным характеристикам. Он представляет собой обычный интернет-юмор, который может быть принято и любимым многими пользователями.",True
4.png,/content/raw/untoxic/4.png,нетоксичный,токсичный,высокая,"Мем представляет собой реальную агрессию, которая выражена в форме оскорбления конкретного автора и его работы. Он призывает к насилию и дискриминации, что делает его токсичным.",MENIU nature Commentary Published: 30 April 1992 Thegrowing inaccessibility ofscience Donald ₽ Nature  356 739-740(1992) Cite this article 1015 Accesses 44  Citations 27 Alimetric Metrics Access options Rent or Subscribe to article Journal Get time limiled ог full апicle Gel full journal access on ReadCube access fоr уеаг from 58.99 $199.00 опlу 93.81 per issue Rent ог Buy Subscrbe All тпсеs ate NET prieз All pn-es ягe NET prices VAT will Еe adced later 0 IПе checkaui Hayes Buy,"КЛАССИФИКАЦИЯ: Токсичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Мем представляет собой реальную агрессию, которая выражена в форме оскорбления конкретного автора и его работы. Он призывает к насилию и дискриминации, что делает его токсичным.",False
nt10.png,/content/raw/untoxic/nt10.png,нетоксичный,нетоксичный,высокая,"Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или любой другой личной характеристике. Он просто представляет собой анимационный мем о программировании, который может быть признан нетоксичным.","Wtf is a potntcr С++ for Python developers Stop writing in pseudocode 0 RLY? 4 ""real"" deueloper","КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или любой другой личной характеристике. Он просто представляет собой анимационный мем о программировании, который может быть признан нетоксичным.",True
32.png,/content/raw/untoxic/32.png,нетоксичный,нетоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",ЭО МОГЛИБЫТЬИЫ НОУНАН ШЕТ ЫПШНХОВ,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",True
5.png,/content/raw/untoxic/5.png,нетоксичный,неттоксичный,средняя,"Этот мем представляет собой иллюстрацию, которая может быть смешной или забавной, но не содержит реальной агрессии, насилия или дискриминации. Он также не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти.",(иеь Шбешапанеийкабль,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем представляет собой иллюстрацию, которая может быть смешной или забавной, но не содержит реальной агрессии, насилия или дискриминации. Он также не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти.",False
15.png,/content/raw/untoxic/15.png,нетоксичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",Вы ходите в цирк? Часто Иногда Нет Я в нем живу,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",True
27.png,/content/raw/untoxic/27.png,нетоксичный,неттоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии, не содержит пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений.",я: *забыл пропуск дома* охранник c которым я здоровался на протяжении трех лет: НЕРЛОЛИЧИНЫЙ шакал 71K 0 14.43,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии, не содержит пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений.",False
24.png,/content/raw/untoxic/24.png,нетоксичный,нетоксичный,высокая,"Этот мем не содержит реальной агрессии, оскорбления или дискриминации. Он представляет собой обычный интернет-юмор, который может быть принято и даже любимым для многих пользователей.","Цели на первую половину 2025 года: Купить авто Р; Накопить 1.000.060 грублей че,еА M Купить новый телефон Начать жИТЬ счастдивой жизнью не _е}ть не Отирыть своё дело","КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем не содержит реальной агрессии, оскорбления или дискриминации. Он представляет собой обычный интернет-юмор, который может быть принято и даже любимым для многих пользователей.",True
nt15.png,/content/raw/untoxic/nt15.png,нетоксичный,неттоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений, а не людей.",В основном ясно Ощущается как ни не понял,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений, а не людей.",False
22.png,/content/raw/untoxic/22.png,нетоксичный,нетоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он использует шутки и абстрактный юмор, не содержит конкретных жертв или национальности.",VERT DIDER Вас уменьшили до размера монетки и бросили в блендер: Лезвия начнут вращаться через минуту: Что будете делать? Пишите в комментариях 6 116 119 Comments 119 собеседования Уйду,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальной агрессии, оскорбления или дискриминации. Он использует шутки и абстрактный юмор, не содержит конкретных жертв или национальности.",True
1.png,/content/raw/untoxic/1.png,нетоксичный,нетоксичный,средняя,"Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или любой другой личной характеристике. Он представляет собой обычный интернет-юмор, который может быть принято и воспринято как смешно или забавно.",инфляция сука ЭРА РАЗВЕТВИТЕЛЬ СЕТЕВОЙ 2ГнЕЗДА ТРОЙНИК,"КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем не содержит прямых оскорблений, призывов к насилию или дискриминации, не унижает по национальности, полу, религии или любой другой личной характеристике. Он представляет собой обычный интернет-юмор, который может быть принято и воспринято как смешно или забавно.",True
nt5.png,/content/raw/untoxic/nt5.png,нетоксичный,неттоксичный,средняя,"Этот мем - это обычный интернет-юмор, который использует шутки и иронию. Он не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти.",АТЛАНТ РАСПРАВИЛ ПЛЕЧИ Айн РэНд,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем - это обычный интернет-юмор, который использует шутки и иронию. Он не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти.",False
6.png,/content/raw/untoxic/6.png,нетоксичный,нетоксичный,высокая,"Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",Олти нл 7ОВИНКА: 7450 хлЕБ,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который не содержит реальной агрессии, оскорбления или дискриминации. Он также не содержит конкретных жертв или национальности, полу или религии.",True
